frame_index,bag_timestamp_ns,map_stamp_ns,component_index,stable_key_x,stable_key_y,exact_columns,area,horizontal_span,representative_x,representative_y,representative_z,unknown_direction_x,unknown_direction_y,unknown_direction_z,information_gain,direction_consistency,direction_votes_pos_x,direction_votes_pos_y,direction_votes_neg_x,direction_votes_neg_y,xy_min_x,xy_min_y,xy_max_x,xy_max_y,rejection,columns_complete,edges_complete
3,1784164312999738429,1784164310186407576,24,16515,16383,1,0.040000003,0.141421631,26.303653717,-0.101219513,-0.064634182,-1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,0,0,5,0,26.250000000,-0.150000006,26.350000381,-0.050000001,Columns,1,1
3,1784164312999738429,1784164310186407576,25,16515,16405,1,0.040000003,0.141421556,26.299558640,4.297749519,-0.062612414,-1.000000000,0.000000000,0.000000000,21.000000000,1.000000000,0,0,21,0,26.250000000,4.250000000,26.350000381,4.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,26,16515,16407,7,0.280000001,1.303840995,26.803649902,4.780313969,-0.343195140,-1.000000000,0.000000000,0.000000000,110.000000000,0.727272749,30,0,80,0,26.250000000,4.449999809,27.350000381,5.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,27,16516,16360,1,0.040000003,0.141420215,26.506664276,-4.699999809,-0.383333385,-1.000000000,0.000000000,0.000000000,9.000000000,1.000000000,0,0,9,0,26.450000763,-4.750000000,26.549999237,-4.650000095,Columns,1,1
3,1784164312999738429,1784164310186407576,28,16516,16410,1,0.040000003,0.141420215,26.501485825,5.300496578,-0.206435472,-1.000000000,0.000000000,0.000000000,18.000000000,1.000000000,0,0,18,0,26.450000763,5.250000000,26.549999237,5.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,29,16516,16414,10,0.400000006,1.208303213,27.040771484,6.228268623,-0.417300820,-1.000000000,0.000000000,0.000000000,177.000000000,0.604519784,70,0,107,0,26.450000763,6.050000191,27.549999237,6.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,30,16517,16384,1,0.040000003,0.141421631,26.697616577,0.083333313,-0.264285773,0.000000000,1.000000000,0.000000000,18.000000000,1.000000000,0,18,0,0,26.649999619,0.050000001,26.750000000,0.150000006,Columns,1,1
3,1784164312999738429,1784164310186407576,31,16517,16394,1,0.040000003,0.141421720,26.697372437,2.110526800,-0.276315808,1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,6,0,0,0,26.649999619,2.049999952,26.750000000,2.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,32,16517,16405,1,0.040000003,0.141421556,26.698614120,4.297708511,-0.183027461,-1.000000000,0.000000000,0.000000000,23.000000000,1.000000000,0,0,23,0,26.649999619,4.250000000,26.750000000,4.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,33,16518,16396,2,0.080000006,0.316227853,26.900003433,2.616881847,-0.238311693,1.000000000,0.000000000,0.000000000,22.000000000,1.000000000,22,0,0,0,26.850000381,2.450000048,26.950000763,2.750000000,Columns,1,1
