frame_index,component_index,stable_key_x,stable_key_y,column_x,column_y
3,0,16437,16395,16437,16395
3,0,16437,16395,16438,16396
3,0,16437,16395,16439,16395
3,0,16437,16395,16439,16396
3,0,16437,16395,16439,16397
3,0,16437,16395,16440,16395
3,0,16437,16395,16440,16396
3,0,16437,16395,16440,16397
3,0,16437,16395,16440,16398
3,0,16437,16395,16441,16395
3,0,16437,16395,16441,16396
3,0,16437,16395,16441,16397
3,0,16437,16395,16441,16398
3,0,16437,16395,16441,16399
3,0,16437,16395,16442,16394
3,0,16437,16395,16442,16395
3,0,16437,16395,16442,16396
3,0,16437,16395,16442,16397
3,0,16437,16395,16442,16398
3,0,16437,16395,16442,16399
3,0,16437,16395,16442,16400
3,0,16437,16395,16443,16394
3,0,16437,16395,16443,16395
3,0,16437,16395,16443,16396
3,0,16437,16395,16443,16397
3,0,16437,16395,16443,16398
3,0,16437,16395,16443,16399
3,0,16437,16395,16443,16400
3,0,16437,16395,16443,16401
3,0,16437,16395,16444,16395
3,0,16437,16395,16444,16396
3,0,16437,16395,16444,16397
3,0,16437,16395,16444,16398
3,0,16437,16395,16444,16399
3,0,16437,16395,16444,16400
3,0,16437,16395,16444,16401
3,0,16437,16395,16444,16402
3,0,16437,16395,16445,16394
3,0,16437,16395,16445,16395
3,0,16437,16395,16445,16396
3,0,16437,16395,16445,16397
3,0,16437,16395,16445,16398
3,0,16437,16395,16445,16399
3,0,16437,16395,16445,16401
3,0,16437,16395,16445,16402
3,0,16437,16395,16445,16403
3,0,16437,16395,16446,16395
3,0,16437,16395,16446,16396
3,0,16437,16395,16446,16397
3,0,16437,16395,16446,16398
3,0,16437,16395,16446,16399
3,0,16437,16395,16446,16400
3,0,16437,16395,16446,16401
3,0,16437,16395,16446,16402
3,0,16437,16395,16446,16403
3,0,16437,16395,16446,16404
3,0,16437,16395,16447,16395
3,0,16437,16395,16447,16396
3,0,16437,16395,16447,16397
3,0,16437,16395,16447,16398
3,0,16437,16395,16447,16399
3,0,16437,16395,16447,16400
3,0,16437,16395,16447,16401
3,0,16437,16395,16447,16404
3,0,16437,16395,16447,16405
3,0,16437,16395,16448,16394
3,0,16437,16395,16448,16395
3,0,16437,16395,16448,16396
3,0,16437,16395,16448,16397
3,0,16437,16395,16448,16398
3,0,16437,16395,16448,16399
3,0,16437,16395,16448,16400
3,0,16437,16395,16448,16401
3,0,16437,16395,16448,16402
3,0,16437,16395,16448,16404
3,0,16437,16395,16448,16406
3,0,16437,16395,16449,16395
3,0,16437,16395,16449,16397
3,0,16437,16395,16449,16398
3,0,16437,16395,16449,16399
3,0,16437,16395,16449,16400
3,0,16437,16395,16449,16401
3,0,16437,16395,16449,16402
3,0,16437,16395,16449,16405
3,0,16437,16395,16449,16406
3,0,16437,16395,16449,16407
3,0,16437,16395,16450,16396
3,0,16437,16395,16450,16397
3,0,16437,16395,16450,16398
3,0,16437,16395,16450,16399
3,0,16437,16395,16450,16400
3,0,16437,16395,16450,16401
3,0,16437,16395,16450,16402
3,0,16437,16395,16450,16403
3,0,16437,16395,16450,16406
3,0,16437,16395,16451,16373
3,0,16437,16395,16451,16396
3,0,16437,16395,16451,16397
3,0,16437,16395,16451,16398
3,0,16437,16395,16451,16399
3,0,16437,16395,16451,16400
3,0,16437,16395,16451,16401
3,0,16437,16395,16451,16402
3,0,16437,16395,16451,16403
3,0,16437,16395,16451,16404
3,0,16437,16395,16451,16406
3,0,16437,16395,16452,16373
3,0,16437,16395,16452,16374
3,0,16437,16395,16452,16395
3,0,16437,16395,16452,16397
3,0,16437,16395,16452,16398
3,0,16437,16395,16452,16399
3,0,16437,16395,16452,16400
3,0,16437,16395,16452,16401
3,0,16437,16395,16452,16402
3,0,16437,16395,16452,16403
3,0,16437,16395,16452,16404
3,0,16437,16395,16452,16405
3,0,16437,16395,16453,16373
3,0,16437,16395,16453,16374
3,0,16437,16395,16453,16396
3,0,16437,16395,16453,16397
3,0,16437,16395,16453,16398
3,0,16437,16395,16453,16399
3,0,16437,16395,16453,16400
3,0,16437,16395,16453,16401
3,0,16437,16395,16453,16402
3,0,16437,16395,16453,16403
3,0,16437,16395,16453,16404
3,0,16437,16395,16453,16405
3,0,16437,16395,16453,16406
3,0,16437,16395,16454,16373
3,0,16437,16395,16454,16374
3,0,16437,16395,16454,16375
3,0,16437,16395,16454,16395
3,0,16437,16395,16454,16396
3,0,16437,16395,16454,16397
3,0,16437,16395,16454,16398
3,0,16437,16395,16454,16399
3,0,16437,16395,16454,16400
3,0,16437,16395,16454,16401
3,0,16437,16395,16454,16402
3,0,16437,16395,16454,16403
3,0,16437,16395,16454,16405
3,0,16437,16395,16454,16407
3,0,16437,16395,16455,16372
3,0,16437,16395,16455,16373
3,0,16437,16395,16455,16374
3,0,16437,16395,16455,16376
3,0,16437,16395,16455,16396
3,0,16437,16395,16455,16398
3,0,16437,16395,16455,16399
3,0,16437,16395,16455,16400
3,0,16437,16395,16455,16401
3,0,16437,16395,16455,16402
3,0,16437,16395,16455,16403
3,0,16437,16395,16455,16404
3,0,16437,16395,16455,16405
3,0,16437,16395,16455,16407
3,0,16437,16395,16456,16372
3,0,16437,16395,16456,16373
3,0,16437,16395,16456,16375
3,0,16437,16395,16456,16376
3,0,16437,16395,16456,16397
3,0,16437,16395,16456,16398
3,0,16437,16395,16456,16399
3,0,16437,16395,16456,16400
3,0,16437,16395,16456,16401
3,0,16437,16395,16456,16402
3,0,16437,16395,16456,16403
3,0,16437,16395,16456,16404
3,0,16437,16395,16456,16405
3,0,16437,16395,16456,16406
3,0,16437,16395,16456,16407
3,0,16437,16395,16457,16372
3,0,16437,16395,16457,16373
3,0,16437,16395,16457,16374
3,0,16437,16395,16457,16375
3,0,16437,16395,16457,16398
3,0,16437,16395,16457,16399
3,0,16437,16395,16457,16400
3,0,16437,16395,16457,16401
3,0,16437,16395,16457,16402
3,0,16437,16395,16457,16404
3,0,16437,16395,16457,16405
3,0,16437,16395,16457,16406
3,0,16437,16395,16457,16407
3,0,16437,16395,16458,16371
3,0,16437,16395,16458,16372
3,0,16437,16395,16458,16373
3,0,16437,16395,16458,16374
3,0,16437,16395,16458,16375
3,0,16437,16395,16458,16399
3,0,16437,16395,16458,16400
3,0,16437,16395,16458,16401
3,0,16437,16395,16458,16402
3,0,16437,16395,16458,16403
3,0,16437,16395,16458,16404
3,0,16437,16395,16458,16406
3,0,16437,16395,16459,16371
3,0,16437,16395,16459,16372
3,0,16437,16395,16459,16373
3,0,16437,16395,16459,16375
3,0,16437,16395,16459,16376
3,0,16437,16395,16459,16399
3,0,16437,16395,16459,16400
3,0,16437,16395,16459,16401
3,0,16437,16395,16459,16402
3,0,16437,16395,16459,16403
3,0,16437,16395,16459,16404
3,0,16437,16395,16459,16405
3,0,16437,16395,16460,16371
3,0,16437,16395,16460,16372
3,0,16437,16395,16460,16373
3,0,16437,16395,16460,16375
3,0,16437,16395,16460,16378
3,0,16437,16395,16460,16395
3,0,16437,16395,16460,16401
3,0,16437,16395,16460,16402
3,0,16437,16395,16460,16403
3,0,16437,16395,16460,16404
3,0,16437,16395,16460,16406
3,0,16437,16395,16460,16407
3,0,16437,16395,16461,16370
3,0,16437,16395,16461,16371
3,0,16437,16395,16461,16372
3,0,16437,16395,16461,16373
3,0,16437,16395,16461,16374
3,0,16437,16395,16461,16376
3,0,16437,16395,16461,16378
3,0,16437,16395,16461,16380
3,0,16437,16395,16461,16381
3,0,16437,16395,16461,16396
3,0,16437,16395,16461,16397
3,0,16437,16395,16461,16401
3,0,16437,16395,16461,16402
3,0,16437,16395,16461,16405
3,0,16437,16395,16461,16407
3,0,16437,16395,16462,16370
3,0,16437,16395,16462,16371
3,0,16437,16395,16462,16372
3,0,16437,16395,16462,16373
3,0,16437,16395,16462,16374
3,0,16437,16395,16462,16375
3,0,16437,16395,16462,16376
3,0,16437,16395,16462,16377
3,0,16437,16395,16462,16378
3,0,16437,16395,16462,16379
3,0,16437,16395,16462,16380
3,0,16437,16395,16462,16381
3,0,16437,16395,16462,16382
3,0,16437,16395,16462,16383
3,0,16437,16395,16462,16398
3,0,16437,16395,16462,16399
3,0,16437,16395,16462,16401
3,0,16437,16395,16462,16402
3,0,16437,16395,16462,16404
3,0,16437,16395,16462,16405
3,0,16437,16395,16462,16407
3,0,16437,16395,16463,16370
3,0,16437,16395,16463,16371
3,0,16437,16395,16463,16372
3,0,16437,16395,16463,16373
3,0,16437,16395,16463,16374
3,0,16437,16395,16463,16376
3,0,16437,16395,16463,16377
3,0,16437,16395,16463,16378
3,0,16437,16395,16463,16379
3,0,16437,16395,16463,16380
3,0,16437,16395,16463,16381
3,0,16437,16395,16463,16393
3,0,16437,16395,16463,16395
3,0,16437,16395,16463,16396
3,0,16437,16395,16463,16397
3,0,16437,16395,16463,16398
3,0,16437,16395,16463,16399
3,0,16437,16395,16463,16400
3,0,16437,16395,16463,16401
3,0,16437,16395,16463,16402
3,0,16437,16395,16463,16405
3,0,16437,16395,16464,16369
3,0,16437,16395,16464,16370
3,0,16437,16395,16464,16371
3,0,16437,16395,16464,16372
3,0,16437,16395,16464,16373
3,0,16437,16395,16464,16375
3,0,16437,16395,16464,16376
3,0,16437,16395,16464,16378
3,0,16437,16395,16464,16379
3,0,16437,16395,16464,16380
3,0,16437,16395,16464,16381
3,0,16437,16395,16464,16382
3,0,16437,16395,16464,16383
3,0,16437,16395,16464,16384
3,0,16437,16395,16464,16393
3,0,16437,16395,16464,16394
3,0,16437,16395,16464,16396
3,0,16437,16395,16464,16398
3,0,16437,16395,16464,16400
3,0,16437,16395,16464,16401
3,0,16437,16395,16465,16370
3,0,16437,16395,16465,16371
3,0,16437,16395,16465,16372
3,0,16437,16395,16465,16374
3,0,16437,16395,16465,16375
3,0,16437,16395,16465,16376
